18	24	26	35	37
4	6	11	17	34
2	3	16	22	32
1	11	20	28	36
10	12	29	32	36
7	13	22	23	30
9	13	26	34	36
10	13	24	36	37
3	7	14	26	38
9	11	19	36	39
6	9	17	24	38
16	20	21	30	31
6	8	16	19	23
3	10	23	26	37
1	3	16	17	39
5	9	16	21	35
3	10	11	13	19
1	6	7	21	23
15	17	19	28	29
23	26	34	35	36
13	16	23	37	39
12	20	23	31	37
1	2	17	18	35
14	16	20	30	37
16	20	21	22	26
5	13	23	26	27
6	12	17	28	36
4	24	25	34	37
1	5	12	18	30
1	5	12	15	26
20	23	26	27	38
3	7	14	20	34
1	2	20	23	26
3	12	14	18	34
16	18	23	32	38
1	8	9	17	22
3	13	20	27	28
5	18	21	22	27
6	7	19	20	26
10	19	22	24	26
1	17	20	27	30
1	14	19	27	28
9	19	35	37	38
5	8	10	23	30
4	16	21	32	33
1	7	26	29	34
6	14	19	24	37
9	10	14	22	38
1	8	9	18	27
21	25	27	32	39
13	32	34	36	38
5	10	23	25	39
5	10	15	16	21
7	10	16	19	24
4	6	31	36	37
5	10	11	12	26
13	17	18	24	28
1	4	11	23	32
1	5	19	22	26
4	9	13	27	28
7	25	33	35	37
21	31	32	35	36
7	11	13	25	39
3	8	14	18	32
1	7	10	23	29
11	21	30	32	38
4	10	17	27	36
11	18	22	28	35
1	11	17	29	34
10	14	19	20	35
3	8	13	23	26
8	12	22	33	35
7	9	11	22	32
1	5	10	30	31
10	12	15	32	35
10	14	15	36	38
10	12	23	34	38
2	9	20	25	35
24	28	31	33	36
6	8	12	23	25
1	17	25	36	38
10	12	17	29	35
1	10	24	35	38
2	7	9	29	35
6	16	20	25	34
2	4	18	20	34
17	22	34	37	39
1	22	26	27	39
1	6	11	23	27
1	3	8	18	31
23	25	29	30	32
14	16	27	28	34
10	11	28	37	38
4	6	10	12	26
4	13	20	30	36
2	5	10	21	29
3	14	16	25	34
11	13	24	28	35
10	27	36	37	39
10	17	19	35	39
3	4	5	10	33
4	17	18	22	32
6	14	22	28	37
4	21	28	35	38
10	17	27	29	32
4	11	22	33	36
1	17	23	33	39
3	7	27	35	39
5	12	13	20	26
1	9	14	27	39
1	2	18	33	39
10	15	19	28	30
8	10	16	24	34
8	11	17	27	31
4	7	13	20	24
1	3	21	24	34
12	29	35	37	38
2	4	23	31	38
1	3	7	23	39
8	13	20	25	29
12	23	26	27	33
8	23	24	31	39
5	12	19	27	28
17	19	23	33	35
1	17	28	35	38
4	13	25	26	36
5	8	18	29	33
2	18	30	35	36
1	5	6	9	31
2	6	20	24	34
5	10	20	27	36
4	8	20	23	27
13	17	18	36	37
1	2	23	29	30
5	9	10	11	22
2	5	15	19	26
17	19	28	35	36
4	10	12	17	21
7	17	20	27	39
5	6	10	26	27
3	7	15	16	29
2	7	9	17	27
10	20	23	28	31
8	11	13	15	29
9	10	12	17	20
6	11	18	27	28
16	26	27	33	34
7	9	12	14	16
1	18	20	24	37
3	5	10	13	29
2	6	17	20	30
1	9	11	21	32
7	16	22	29	37
5	9	20	30	38
3	11	30	32	34
10	16	20	33	39
3	7	16	22	31
5	6	16	27	31
9	12	25	26	30
5	8	23	29	32
3	19	27	28	30
13	19	22	30	38
4	7	18	27	29
1	2	7	24	35
6	9	24	27	37
7	20	23	31	35
10	11	27	28	29
3	8	15	17	38
4	13	21	27	32
3	6	16	29	30
2	12	13	23	28
12	26	27	28	34
1	6	19	24	27
6	8	11	23	39
14	15	18	21	36
3	23	25	35	36
8	29	33	37	38
4	7	10	22	28
9	17	28	33	36
15	16	25	33	36
20	26	30	31	32
3	8	11	23	32
1	17	20	32	38
5	6	9	30	31
3	15	18	26	33
3	4	21	28	30
2	7	11	14	32
8	23	24	34	36
1	7	9	21	23
5	10	29	32	33
3	17	18	23	31
2	9	13	14	27
17	23	26	27	36
5	13	30	35	39
14	16	24	26	29
2	4	25	29	39
9	14	16	25	34
4	5	8	22	36
7	9	13	25	33
5	18	25	26	38
8	13	21	32	36
2	3	12	18	22
2	8	11	16	17
5	12	20	27	30
4	7	9	24	30
5	7	8	36	38
1	2	5	21	25
8	22	23	28	29
2	25	27	35	39
5	12	15	22	30
17	20	26	35	38
3	7	9	18	37
6	14	20	21	26
5	10	25	26	38
5	8	17	26	34
8	13	23	25	37
8	16	17	21	27
12	13	15	18	24
10	14	17	24	26
3	20	28	34	36
14	18	22	27	33
4	8	12	34	37
19	29	31	35	39
4	7	22	29	39
3	19	25	32	36
2	22	29	34	38
5	6	14	19	30
10	16	17	24	27
9	11	23	30	38
10	16	18	26	32
10	20	21	24	30
6	22	23	25	26
12	17	26	38	39
5	9	10	21	37
4	8	19	24	36
18	19	22	26	30
22	23	24	33	38
1	11	14	15	30
19	24	27	29	33
14	16	20	26	38
18	24	30	34	38
7	18	22	27	31
1	11	13	17	31
1	5	8	29	30
1	2	6	9	35
6	18	19	21	39
5	10	26	30	34
5	11	14	17	23
4	5	8	19	29
1	13	21	27	34
2	9	11	14	35
1	5	21	29	35
6	9	33	35	37
2	7	13	16	37
7	24	32	36	39
3	7	20	23	31
5	7	10	23	37
4	5	10	21	27
1	11	19	31	34
2	22	23	32	39
2	13	19	32	38
5	20	30	35	37
1	10	17	33	37
4	11	28	32	39
8	23	24	28	30
9	18	25	33	37
5	13	22	25	28
6	15	24	28	31
5	16	30	37	38
14	17	19	20	24
8	10	16	21	36
2	6	21	27	29
4	11	13	25	33
16	33	34	35	38
7	9	17	26	37
5	6	29	30	39
4	15	18	25	26
23	24	29	36	39
1	4	19	23	37
1	13	20	25	32
15	17	18	31	33
4	10	12	17	25
13	17	18	21	31
12	18	26	28	30
4	15	29	33	37
1	2	4	23	28
8	14	20	21	30
3	7	17	30	31
6	21	26	27	34
13	14	28	31	35
11	23	33	36	37
14	16	21	29	32
17	24	29	34	39
2	3	17	28	31
1	10	16	27	28
2	6	26	29	36
15	16	17	23	32
11	13	20	23	39
4	7	12	20	33
4	9	21	23	24
1	26	31	32	38
6	11	13	15	29
1	6	7	12	15
4	5	20	24	29
16	27	30	35	38
3	7	8	33	35
2	15	19	27	39
18	19	20	30	38
1	4	11	25	31
6	13	15	22	27
5	14	24	33	39
6	18	24	27	29
10	18	19	37	39
5	10	17	19	34
17	20	23	24	39
6	12	17	32	36
5	10	15	24	27
1	9	14	17	18
22	24	27	29	34
7	20	26	27	30
6	20	22	30	36
21	27	28	34	37
1	6	21	35	36
17	18	20	24	34
7	15	20	30	37
6	20	22	27	35
6	20	25	32	37
5	9	13	21	34
3	8	11	19	38
13	16	25	26	31
4	8	23	24	34
6	22	24	29	33
4	8	17	26	30
1	9	33	34	39
8	14	18	20	23
22	26	32	33	38
18	20	21	24	25
4	6	16	23	36
1	10	23	27	36
2	14	20	22	29
1	9	11	27	31
2	3	20	21	34
9	10	15	27	32
3	9	14	26	33
8	18	23	24	31
13	20	26	37	38
4	23	25	35	38
3	9	24	35	38
6	7	9	21	32
12	29	31	36	39
4	17	24	25	28
2	12	17	34	38
19	20	25	30	37
1	4	7	8	39
4	8	21	24	26
6	8	17	24	38
5	19	26	28	29
22	31	35	38	39
4	18	27	29	39
1	7	11	24	39
2	3	7	30	36
10	11	13	23	38
11	14	17	19	24
1	7	15	17	18
6	10	13	16	27
6	11	27	37	38
8	11	13	14	26
2	4	13	23	28
4	8	17	18	26
6	16	25	28	36
12	17	21	28	35
15	24	25	26	32
1	2	4	17	20
9	17	25	28	36
1	11	19	26	32
3	10	16	24	37
1	3	19	20	37
2	7	22	31	37
8	18	20	29	35
9	12	22	30	35
1	21	24	28	34
12	13	15	28	33
6	10	11	26	27
5	6	12	19	33
8	14	15	24	27
5	14	17	19	20
1	11	23	25	35
8	15	17	34	36
7	11	15	16	20
2	12	15	22	35
9	14	18	29	36
2	8	15	17	24
2	15	23	29	38
7	24	28	32	38
1	19	23	30	36
1	5	19	32	37
5	9	15	20	24
11	15	25	32	35
9	16	21	28	38
3	5	21	34	36
1	10	14	20	34
